avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure,employee_id,age,gender,marital_status
246.0,D00-UN,0,0.8668379999999999,6,0,medium,0.134415,Left,4,124467,42,Female,Married
134.0,D00-UN,0,0.555718,2,0,low,0.511041,Left,3,112210,23,Female,Unmarried
156.0,D00-SS,1,0.47408199999999995,2,0,medium,0.40510100000000004,Left,3,126150,24,Female,Unmarried
256.0,D00-SP,0,0.96136,6,0,low,0.152974,Left,4,125346,51,Female,Married
146.0,D00-SS,0,0.5073489999999999,2,0,medium,0.434845,Left,3,113707,23,Female,Unmarried
135.0,D00-MT,0,0.482184,2,0,low,0.38154499999999997,Left,3,121685,23,Female,Unmarried
270.0,D00-PD,0,0.867087,6,0,low,0.172575,Left,4,119912,24,Female,Unmarried
244.0,D00-IT,0,0.9261969999999999,6,0,medium,0.0618684,Left,5,112868,29,Female,Married
289.0,D00-IT,0,0.929858,7,0,low,0.161744,Left,4,122314,36,Female,Married
281.0,D00-SS,0,0.9079649999999999,6,0,medium,0.105749,Left,4,122394,50,Female,Married
269.0,D00-SP,0,0.867086,6,0,low,0.12113299999999999,Left,4,119750,29,Male,Unmarried
267.0,D00-SP,0,0.953585,5,0,low,0.87131,Left,6,119512,23,Female,Unmarried
257.0,D00-AD,0,0.886631,5,0,low,0.265318,Left,5,118061,36,Male,Married
155.0,D00-MT,0,0.521682,2,0,low,0.387475,Left,3,111718,22,Female,Unmarried
269.0,D00-SS,0,0.9590770000000001,4,0,medium,0.960757,Left,5,126860,25,Female,Unmarried
244.0,D00-MN,0,0.943946,7,0,medium,0.171328,Left,4,117404,44,Female,Married
256.0,D00-SS,0,0.897617,5,0,medium,0.753731,Left,5,110655,24,Female,Unmarried
128.0,D00-SS,0,0.504768,2,0,medium,0.485149,Left,3,111708,22,Female,Unmarried
274.0,D00-PD,0,1.0,5,0,low,0.799562,Left,5,124926,24,Female,Unmarried
155.0,D00-SS,0,0.440299,2,0,low,0.415771,Left,3,128624,25,Female,Unmarried
151.0,D00-SS,0,0.44801899999999995,2,0,low,0.42688000000000004,Left,3,125108,25,Female,Unmarried
127.0,D00-ENG,0,0.722725376662377,2,0,low,0.370515,Left,3,114322,24,Male,Unmarried
151.0,D00-MT,0,0.531487,2,0,low,0.390047,Left,3,111365,33,Male,Married
132.0,D00-SS,0,0.566959,5,0,low,0.293481,Left,5,123197,25,Female,Unmarried
128.0,D00-ENG,0,0.499776,2,0,low,0.335383,Left,3,113448,25,Male,Unmarried
155.0,D00-UN,0,0.46459799999999996,2,0,medium,0.414451,Left,3,127792,23,Female,Unmarried
309.0,D00-ENG,0,0.78484,6,0,low,0.0785233,Left,4,127317,52,Female,Married
130.0,D00-MT,0,0.463049,2,0,low,0.401826,Left,3,119126,24,Female,Unmarried
156.0,D00-UN,0,0.7176792874999995,2,0,medium,0.465747,Left,3,128509,25,Female,Unmarried
233.0,D00-ENG,0,0.936729,4,0,low,0.899675,Left,6,120875,23,Female,Unmarried
245.0,D00-ENG,0,0.8777790000000001,5,0,low,0.904697,Left,5,115993,28,Male,Unmarried
149.0,D00-AD,0,0.505405,2,0,low,0.45183199999999996,Left,3,111875,43,Female,Married
232.0,D00-ENG,0,0.911595,4,0,medium,0.8053680000000001,Left,5,115848,24,Female,Unmarried
134.0,D00-MT,0,0.442766,2,0,medium,0.37922100000000003,Left,3,125664,22,Female,Unmarried
249.0,D00-MT,0,0.847301,4,0,low,0.9090590000000001,Left,6,126241,23,Female,Unmarried
257.0,D00-SS,0,0.889916,5,0,low,0.857449,Left,5,114810,23,Female,Unmarried
164.0,D00-SS,0,0.681106,3,0,low,0.765486,Left,3,122449,23,Female,Unmarried
159.0,D00-PR,0,0.552437,2,0,low,0.467246,Left,3,120537,25,Female,Unmarried
154.0,D00-SP,0,0.7231704095688735,2,1,medium,0.44015200000000004,Left,3,110293,23,Female,Unmarried
233.0,D00-UN,0,0.965382,5,0,medium,0.9623139999999999,Left,5,125077,22,Female,Unmarried
